subject,condition,recalled
2,itemtest,3
2,restudy,5
2,control,1
3,itemtest,3
3,restudy,4
3,control,1
4,itemtest,1
4,restudy,2
4,control,3
5,itemtest,5
5,restudy,7
5,control,4
6,itemtest,1
6,restudy,4
6,control,2
7,itemtest,4
7,restudy,3
7,control,1
8,itemtest,3
8,restudy,4
8,control,4
9,itemtest,5
9,restudy,6
9,control,2
10,itemtest,7
10,restudy,1
10,control,2
11,itemtest,3
11,restudy,3
11,control,3
12,itemtest,6
12,restudy,1
12,control,4
13,itemtest,11
13,restudy,4
13,control,5
14,itemtest,3
14,restudy,1
14,control,3
15,itemtest,2
15,restudy,2
15,control,0
16,itemtest,0
16,restudy,1
16,control,1
18,itemtest,2
18,restudy,3
18,control,2
19,itemtest,4
19,restudy,2
19,control,4
20,itemtest,1
20,restudy,4
20,control,3
21,itemtest,6
21,restudy,4
21,control,2
22,itemtest,4
22,restudy,5
22,control,1
23,itemtest,7
23,restudy,2
23,control,1
24,itemtest,4
24,restudy,2
24,control,6
25,itemtest,3
25,restudy,3
25,control,1
26,itemtest,3
26,restudy,1
26,control,4
27,itemtest,5
27,restudy,5
27,control,3
28,itemtest,3
28,restudy,1
28,control,0
29,itemtest,8
29,restudy,7
29,control,4
31,itemtest,12
31,restudy,6
31,control,7
32,itemtest,9
32,restudy,7
32,control,4
35,itemtest,7
35,restudy,4
35,control,5
36,itemtest,4
36,restudy,2
36,control,4
37,itemtest,8
37,restudy,5
37,control,4
38,itemtest,1
38,restudy,1
38,control,2
39,itemtest,0
39,restudy,3
39,control,3
40,itemtest,3
40,restudy,4
40,control,2
41,itemtest,7
41,restudy,3
41,control,6
42,itemtest,1
42,restudy,2
42,control,3
43,itemtest,1
43,restudy,1
43,control,2
44,itemtest,4
44,restudy,5
44,control,1
45,itemtest,5
45,restudy,4
45,control,3
46,itemtest,0
46,restudy,1
46,control,2
47,itemtest,7
47,restudy,9
47,control,4
48,itemtest,5
48,restudy,4
48,control,3
50,itemtest,10
50,restudy,7
50,control,11
51,itemtest,1
51,restudy,1
51,control,5
52,itemtest,2
52,restudy,1
52,control,4
53,itemtest,4
53,restudy,3
53,control,3
54,itemtest,7
54,restudy,5
54,control,3
55,itemtest,6
55,restudy,3
55,control,2
56,itemtest,2
56,restudy,2
56,control,3
57,itemtest,4
57,restudy,4
57,control,5
59,itemtest,3
59,restudy,2
59,control,1
61,itemtest,3
61,restudy,3
61,control,1
62,itemtest,1
62,restudy,2
62,control,1
64,itemtest,6
64,restudy,2
64,control,2
65,itemtest,3
65,restudy,1
65,control,2
66,itemtest,2
66,restudy,4
66,control,2
67,itemtest,3
67,restudy,6
67,control,6
68,itemtest,3
68,restudy,1
68,control,4
69,itemtest,3
69,restudy,3
69,control,1
70,itemtest,2
70,restudy,2
70,control,1
71,itemtest,1
71,restudy,3
71,control,1
72,itemtest,3
72,restudy,2
72,control,2
73,itemtest,2
73,restudy,5
73,control,4
74,itemtest,2
74,restudy,2
74,control,3
75,itemtest,4
75,restudy,0
75,control,0
76,itemtest,4
76,restudy,2
76,control,1
77,itemtest,10
77,restudy,6
77,control,4
78,itemtest,5
78,restudy,0
78,control,4
79,itemtest,2
79,restudy,3
79,control,5
80,itemtest,3
80,restudy,2
80,control,2
82,itemtest,2
82,restudy,2
82,control,1
83,itemtest,7
83,restudy,1
83,control,4
85,itemtest,1
85,restudy,1
85,control,2
86,itemtest,1
86,restudy,3
86,control,3
87,itemtest,0
87,restudy,3
87,control,1
88,itemtest,0
88,restudy,2
88,control,3
89,itemtest,8
89,restudy,6
89,control,5
90,itemtest,2
90,restudy,3
90,control,0
91,itemtest,4
91,restudy,2
91,control,2
93,itemtest,4
93,restudy,3
93,control,3
94,itemtest,6
94,restudy,2
94,control,1
95,itemtest,1
95,restudy,1
95,control,2
98,itemtest,6
98,restudy,4
98,control,1
99,itemtest,4
99,restudy,4
99,control,3
100,itemtest,4
100,restudy,3
100,control,2
101,itemtest,5
101,restudy,4
101,control,1
102,itemtest,1
102,restudy,1
102,control,3
104,itemtest,3
104,restudy,3
104,control,3
105,itemtest,0
105,restudy,1
105,control,2